дата,смена,час,тип_данных,значение,агрегат
2026-01-01,1,21,производительность,34.5,мельница_1
2026-01-01,1,22,производительность,0.0,мельница_2
2026-01-01,1,22,производительность,0.0,мельница_3
2026-01-01,1,22,производительность,33.0,мельница_4
2026-01-01,1,22,производительность,12.1,мельница_5
2026-01-01,1,22,производительность,83.5,всего
2026-01-01,1,23,плотность,70.0,мельница_1
2026-01-01,1,23,плотность,58.0,мельница_2
2026-01-01,1,23,слив_гидроциклон,44.0,ГЦ_1ст
2026-01-01,1,23,классификатор,51.0,классификатор_5
2026-01-01,1,23,выпуск_мкр,1.0,МКР
2026-01-01,1,21:00,ph,10.18,ГЦ_1
2026-01-01,1,23:00,ph,10.09,ГЦ_1
2026-01-01,2,,влага_руды,1.8,мельница_4
