Дата	Номинальный ежедневный расход	показание счетчика	Фактический расход за сутки	Расход в час
2025-03-01 00:00:00	483.8709677419355	976854.187	492.82	20.534166666666668
2025-03-02 00:00:00	483.8709677419355	977547.307	693.1199999999953	28.879999999999807
2025-03-03 00:00:00	483.8709677419355	978085.819	538.5119999999879	22.437999999999494
2025-03-04 00:00:00	483.8709677419355	978551.123	465.3040000000037	19.38766666666682
2025-03-05 00:00:00	483.8709677419355	980596.623	2045.5	85.22916666666667
2025-03-06 00:00:00	483.8709677419355	984803.775	4207.152000000002	175.2980000000001
2025-09-09 00:00:00	3333	494103.374	3858.167000000016	160.75695833333398
2025-09-10 00:00:00	3333	497924.746	3821.371999999974	159.22383333333224
2025-09-11 00:00:00	3333	501743.035	3818.2889999999898	159.09537499999956
2025-09-12 00:00:00	3333	505044.207	3301.1720000000205	137.5488333333342
2025-09-13 00:00:00	3333	505044.207	0	0
2025-09-14 00:00:00	3333	505044.207	0	0
2025-02-02 00:00:00	nan	964326.762	68.1480000000447	2.8395000000018626
2025-02-03 00:00:00	nan	964478.422	151.6600000000326	6.319166666668025
2025-02-04 00:00:00	nan	964972.894	494.47199999995064	20.602999999997945
2025-02-05 00:00:00	nan	965156.058	183.16399999998976	7.6318333333329065

